product_id,product_name,category,shelf_life_type,disposal_risk,unit_price,original_price,discount_price,discount_rate,promotion_type,is_1plus1,is_2plus1,promotion_start_date,promotion_end_date
P01,도시락,식사,FF,HIGH,4800,4800,4800,0.0,None,False,False,None,None
P02,아메리카노,음료,DRY,LOW,2000,2000,2000,0.0,1+1,True,False,2026-05-01,2026-05-31
P03,우산,잡화,DRY,LOW,6000,6000,6000,0.0,None,False,False,None,None
P04,생수,음료,DRY,LOW,1000,1000,1000,0.0,None,False,False,None,None
P05,얼음컵,음료,FF,MEDIUM,800,800,800,0.0,None,False,False,None,None
P06,컵라면,식사,DRY,LOW,1500,1500,1500,0.0,2+1,False,True,2026-05-15,2026-05-25
P07,샌드위치,식사,FF,HIGH,2900,2900,2300,0.21,할인,False,False,2026-05-20,2026-05-30
P08,맥주,주류,DRY,LOW,3500,3500,3500,0.0,None,False,False,None,None
P09,아이스크림,간식,FF,MEDIUM,1200,1200,1200,0.0,1+1,True,False,2026-05-01,2026-05-31
P10,핫바,간식,FF,MEDIUM,2200,2200,2200,0.0,None,False,False,None,None
